Age,Attrition,Business Travel,Daily Rate,Department,Education Field,Employee Number,Gender,Hourly Rate,Job Level,Job Role,Marital Status,Monthly Income,Monthly Rate,Over Time,Percent Salary Hike,Performance Rating,Standard Hours,Total Working Years,Years At Company,Years In Current Role
28,Yes,Travel Rarely,1434,Research & Development,Technical Degree,65,Male,50,1,Laboratory Technician,Single,3441,11179,Yes,13,3,80,2,2,2
44,No,Travel Rarely,1488,Sales,Marketing,68,Female,75,2,Sales Executive,Divorced,5454,4009,Yes,21,4,80,9,4,3
35,No,Non-Travel,1097,Research & Development,Medical,70,Male,79,3,Healthcare Representative,Married,9884,8302,Yes,13,3,80,10,4,0
26,No,Travel Rarely,1443,Sales,Marketing,72,Female,47,2,Sales Executive,Married,4157,21436,Yes,19,3,80,5,2,2
33,No,Travel Frequently,515,Research & Development,Life Sciences,73,Female,98,3,Research Director,Single,13458,15146,Yes,12,3,80,15,15,14
35,No,Travel Frequently,853,Sales,Life Sciences,74,Male,71,3,Sales Executive,Married,9069,11031,No,22,4,80,9,9,8
35,No,Travel Rarely,1142,Research & Development,Medical,75,Female,30,1,Laboratory Technician,Married,4014,16002,Yes,15,3,80,4,2,2
31,No,Travel Rarely,655,Research & Development,Life Sciences,76,Male,48,2,Laboratory Technician,Divorced,5915,9528,No,22,4,80,10,7,7
37,No,Travel Rarely,1115,Research & Development,Life Sciences,77,Male,51,2,Manufacturing Director,Divorced,5993,2689,No,18,3,80,7,7,5
32,No,Travel Rarely,427,Research & Development,Medical,78,Male,33,2,Manufacturing Director,Married,6162,10877,Yes,22,4,80,9,9,8
38,No,Travel Frequently,653,Research & Development,Life Sciences,79,Female,50,2,Laboratory Technician,Single,2406,5456,No,11,3,80,10,10,3
50,No,Travel Rarely,989,Research & Development,Medical,80,Female,43,5,Research Director,Divorced,18740,16701,Yes,12,3,80,29,27,3
59,No,Travel Rarely,1435,Sales,Life Sciences,81,Female,99,3,Sales Executive,Single,7637,2354,No,11,3,80,28,21,16
36,No,Travel Rarely,1223,Research & Development,Technical Degree,83,Female,59,3,Healthcare Representative,Divorced,10096,8202,No,13,3,80,17,17,14
55,No,Travel Rarely,836,Research & Development,Medical,84,Female,33,4,Manager,Divorced,14756,19730,Yes,14,3,80,21,5,0
36,No,Travel Frequently,1195,Research & Development,Life Sciences,85,Male,95,2,Manufacturing Director,Single,6499,22656,No,13,3,80,6,6,5
45,No,Travel Rarely,1339,Research & Development,Life Sciences,86,Male,59,3,Research Scientist,Divorced,9724,18787,No,17,3,80,25,1,0
35,No,Travel Frequently,664,Research & Development,Medical,88,Male,79,1,Research Scientist,Married,2194,5868,No,13,3,80,5,3,2
36,Yes,Travel Rarely,318,Research & Development,Medical,90,Male,79,1,Research Scientist,Married,3388,21777,Yes,17,3,80,2,1,0
59,No,Travel Frequently,1225,Sales,Life Sciences,91,Female,57,2,Sales Executive,Single,5473,24668,No,11,3,80,20,4,3
29,No,Travel Rarely,1328,Research & Development,Life Sciences,94,Male,76,1,Research Scientist,Married,2703,4956,No,23,4,80,6,5,4
31,No,Travel Rarely,1082,Research & Development,Medical,95,Male,87,1,Research Scientist,Single,2501,18775,No,17,3,80,1,1,1
32,No,Travel Rarely,548,Research & Development,Life Sciences,96,Male,66,2,Research Scientist,Married,6220,7346,No,17,3,80,10,10,4
36,No,Travel Rarely,132,Research & Development,Life Sciences,97,Female,55,1,Laboratory Technician,Married,3038,22002,No,12,3,80,5,1,0
31,No,Travel Rarely,746,Research & Development,Life Sciences,98,Female,61,2,Manufacturing Director,Single,4424,20682,No,23,4,80,11,11,7
35,No,Travel Rarely,776,Sales,Marketing,100,Male,32,2,Sales Executive,Single,4312,23016,No,14,3,80,16,15,13
45,No,Travel Rarely,193,Research & Development,Other,101,Male,52,3,Research Director,Married,13245,15067,Yes,14,3,80,17,0,0
37,No,Travel Rarely,397,Research & Development,Medical,102,Male,30,3,Research Director,Single,13664,25258,No,13,3,80,16,5,2
46,No,Travel Rarely,945,Human Resources,Medical,103,Male,80,2,Human Resources,Divorced,5021,10425,Yes,22,4,80,16,4,2
30,No,Travel Rarely,852,Research & Development,Life Sciences,104,Male,55,2,Laboratory Technician,Married,5126,15998,Yes,12,3,80,10,10,8
35,No,Travel Rarely,1214,Research & Development,Medical,105,Male,30,1,Research Scientist,Single,2859,26278,No,18,3,80,6,6,4
55,No,Travel Rarely,111,Sales,Life Sciences,106,Male,70,3,Sales Executive,Married,10239,18092,No,14,3,80,24,1,0
38,No,Non-Travel,573,Research & Development,Medical,107,Female,79,2,Research Scientist,Divorced,5329,15717,Yes,12,3,80,17,13,11
34,No,Travel Rarely,1153,Research & Development,Medical,110,Male,94,2,Manufacturing Director,Married,4325,17736,No,15,3,80,5,5,2
56,No,Travel Rarely,1400,Research & Development,Life Sciences,112,Male,49,3,Manufacturing Director,Single,7260,21698,No,11,3,80,37,6,4
23,No,Travel Rarely,541,Sales,Technical Degree,113,Male,62,1,Sales Representative,Divorced,2322,9518,No,13,3,80,3,0,0
51,No,Travel Rarely,432,Research & Development,Life Sciences,116,Male,96,1,Laboratory Technician,Married,2075,18725,No,23,4,80,10,4,2
30,No,Travel Rarely,288,Research & Development,Life Sciences,117,Male,99,2,Healthcare Representative,Married,4152,15830,No,19,3,80,11,11,10
46,Yes,Travel Rarely,669,Sales,Medical,118,Male,64,3,Sales Executive,Single,9619,13596,No,16,3,80,9,9,8
40,No,Travel Frequently,530,Research & Development,Life Sciences,119,Male,78,4,Healthcare Representative,Married,13503,14115,No,22,4,80,22,22,3
51,No,Travel Rarely,632,Sales,Marketing,120,Male,71,2,Sales Executive,Single,5441,8423,Yes,22,4,80,11,10,7
30,No,Travel Rarely,1334,Sales,Medical,121,Female,63,2,Sales Executive,Divorced,5209,19760,Yes,12,3,80,11,11,8
46,No,Travel Frequently,638,Research & Development,Medical,124,Male,40,3,Healthcare Representative,Married,10673,3142,Yes,13,3,80,21,10,9
32,No,Travel Rarely,1093,Sales,Medical,125,Male,87,2,Sales Executive,Single,5010,24301,No,16,3,80,12,11,8
54,No,Travel Rarely,1217,Research & Development,Technical Degree,126,Female,60,3,Research Director,Married,13549,24001,No,12,3,80,16,4,3
24,No,Travel Rarely,1353,Sales,Other,128,Female,33,2,Sales Executive,Married,4999,17519,No,21,4,80,4,3,2
28,No,Non-Travel,120,Sales,Medical,129,Male,43,2,Sales Executive,Married,4221,8863,No,15,3,80,5,5,4
58,No,Travel Rarely,682,Sales,Medical,131,Male,37,4,Sales Executive,Single,13872,24409,No,13,3,80,38,37,10
44,No,Non-Travel,489,Research & Development,Medical,132,Male,67,2,Laboratory Technician,Married,2042,25043,No,12,3,80,17,3,2
37,Yes,Travel Rarely,807,Human Resources,Human Resources,133,Male,63,1,Human Resources,Divorced,2073,23648,Yes,22,4,80,7,3,2
32,No,Travel Rarely,827,Research & Development,Life Sciences,134,Male,71,1,Research Scientist,Single,2956,15178,No,13,3,80,1,1,0
20,Yes,Travel Frequently,871,Research & Development,Life Sciences,137,Female,66,1,Laboratory Technician,Single,2926,19783,Yes,18,3,80,1,1,0
34,No,Travel Rarely,665,Research & Development,Other,138,Female,41,2,Research Scientist,Single,4809,12482,No,14,3,80,16,16,13
37,No,Non-Travel,1040,Research & Development,Life Sciences,139,Male,100,2,Healthcare Representative,Divorced,5163,15850,No,14,3,80,17,1,0
59,No,Non-Travel,1420,Human Resources,Human Resources,140,Female,32,5,Manager,Married,18844,21922,No,21,4,80,30,3,2
50,No,Travel Frequently,1115,Research & Development,Life Sciences,141,Female,73,5,Research Director,Married,18172,9755,Yes,19,3,80,28,8,3
25,Yes,Travel Rarely,240,Sales,Marketing,142,Male,46,2,Sales Executive,Single,5744,26959,Yes,11,3,80,6,6,4
25,No,Travel Rarely,1280,Research & Development,Medical,143,Male,64,1,Research Scientist,Married,2889,26897,No,11,3,80,2,2,2
22,No,Travel Rarely,534,Research & Development,Medical,144,Female,59,1,Laboratory Technician,Single,2871,23785,No,15,3,80,1,0,0
51,No,Travel Frequently,1456,Research & Development,Medical,145,Female,30,3,Healthcare Representative,Single,7484,25796,No,20,4,80,23,13,12
34,Yes,Travel Frequently,658,Research & Development,Life Sciences,147,Male,66,2,Laboratory Technician,Single,6074,22887,Yes,24,4,80,9,9,7
54,No,Non-Travel,142,Human Resources,Human Resources,148,Female,30,4,Manager,Single,17328,13871,Yes,12,3,80,23,5,3
24,No,Travel Rarely,1127,Research & Development,Life Sciences,150,Male,52,1,Laboratory Technician,Married,2774,13257,No,12,3,80,6,5,3
34,No,Travel Rarely,1031,Research & Development,Life Sciences,151,Female,45,2,Research Scientist,Divorced,4505,15000,No,15,3,80,12,1,0
37,No,Travel Rarely,1189,Sales,Life Sciences,152,Male,87,3,Sales Executive,Single,7428,14506,No,12,3,80,12,5,3
34,No,Travel Rarely,1354,Research & Development,Medical,153,Female,45,3,Manager,Single,11631,5615,No,12,3,80,14,11,10
36,No,Travel Frequently,1467,Sales,Technical Degree,154,Female,92,3,Sales Executive,Married,9738,22952,No,14,3,80,10,9,7
36,No,Travel Rarely,922,Research & Development,Life Sciences,155,Female,39,1,Laboratory Technician,Divorced,2835,2561,No,22,4,80,7,1,0
43,No,Travel Frequently,394,Sales,Life Sciences,158,Male,92,4,Manager,Married,16959,19494,Yes,12,3,80,25,25,12
30,No,Travel Frequently,1312,Research & Development,Life Sciences,159,Male,96,1,Research Scientist,Divorced,2613,22310,No,25,4,80,10,10,7
33,No,Non-Travel,750,Sales,Marketing,160,Male,95,2,Sales Executive,Married,6146,15480,No,13,3,80,8,7,7
56,Yes,Travel Rarely,441,Research & Development,Life Sciences,161,Female,72,1,Research Scientist,Married,4963,4510,Yes,18,3,80,7,5,4
51,No,Travel Rarely,684,Research & Development,Life Sciences,162,Male,51,5,Research Director,Single,19537,6462,No,13,3,80,23,20,18
31,Yes,Travel Rarely,249,Sales,Life Sciences,163,Male,76,2,Sales Executive,Married,6172,20739,Yes,18,3,80,12,7,7
26,No,Travel Rarely,841,Research & Development,Other,164,Female,46,1,Research Scientist,Married,2368,23300,No,19,3,80,5,5,4
58,Yes,Travel Rarely,147,Research & Development,Medical,165,Female,94,3,Healthcare Representative,Married,10312,3465,No,12,3,80,40,40,10
19,Yes,Travel Rarely,528,Sales,Marketing,167,Male,50,1,Sales Representative,Single,1675,26820,Yes,19,3,80,0,0,0
22,No,Travel Rarely,594,Research & Development,Technical Degree,169,Male,100,1,Laboratory Technician,Married,2523,19299,No,14,3,80,3,2,1
49,No,Travel Rarely,470,Research & Development,Medical,170,Female,96,2,Manufacturing Director,Married,6567,5549,No,14,3,80,16,15,11
43,No,Travel Frequently,957,Research & Development,Medical,171,Female,72,1,Research Scientist,Single,4739,16090,No,12,3,80,18,3,2
50,No,Travel Frequently,809,Sales,Marketing,174,Female,77,3,Sales Executive,Single,9208,6645,No,11,3,80,16,2,2
31,Yes,Travel Rarely,542,Sales,Life Sciences,175,Female,71,2,Sales Executive,Married,4559,24788,Yes,11,3,80,4,2,2
41,No,Travel Rarely,802,Sales,Life Sciences,176,Male,96,3,Sales Executive,Divorced,8189,21196,Yes,13,3,80,12,9,7
26,No,Travel Rarely,1355,Human Resources,Life Sciences,177,Female,61,1,Human Resources,Married,2942,8916,No,23,4,80,8,8,7
36,No,Travel Rarely,216,Research & Development,Medical,178,Male,84,2,Manufacturing Director,Divorced,4941,2819,No,20,4,80,7,3,2
51,Yes,Travel Frequently,1150,Research & Development,Life Sciences,179,Male,53,3,Manufacturing Director,Single,10650,25150,No,15,3,80,18,4,2
39,No,Travel Rarely,1329,Sales,Life Sciences,182,Female,47,2,Sales Executive,Married,5902,14590,No,14,3,80,17,15,11
25,No,Travel Rarely,959,Sales,Life Sciences,183,Male,41,2,Sales Executive,Married,8639,24835,No,18,3,80,6,2,2
30,No,Travel Rarely,1240,Human Resources,Human Resources,184,Male,48,2,Human Resources,Married,6347,13982,Yes,19,3,80,12,11,9
32,Yes,Travel Rarely,1033,Research & Development,Medical,190,Female,41,1,Laboratory Technician,Single,4200,10224,No,22,4,80,10,5,4
45,No,Travel Rarely,1316,Research & Development,Medical,192,Male,83,1,Research Scientist,Single,3452,9752,No,13,3,80,9,6,5
38,No,Travel Rarely,364,Research & Development,Technical Degree,193,Female,32,2,Research Scientist,Single,4317,2302,Yes,20,4,80,19,3,2
30,No,Travel Rarely,438,Research & Development,Life Sciences,194,Female,75,1,Research Scientist,Single,2632,23910,No,14,3,80,5,5,4
32,No,Travel Frequently,689,Sales,Medical,195,Male,35,2,Sales Executive,Divorced,4668,22812,No,17,3,80,9,8,7
30,No,Travel Rarely,201,Research & Development,Technical Degree,197,Female,84,1,Research Scientist,Divorced,3204,10415,No,14,3,80,8,3,2
30,No,Travel Rarely,1427,Research & Development,Medical,198,Male,35,1,Laboratory Technician,Single,2720,11162,No,13,3,80,6,5,3
41,No,Travel Frequently,857,Research & Development,Life Sciences,199,Male,91,4,Manager,Divorced,17181,12888,No,13,3,80,21,7,6
41,No,Travel Rarely,933,Research & Development,Life Sciences,200,Male,94,1,Laboratory Technician,Married,2238,6961,No,21,4,80,7,5,0
19,No,Travel Rarely,1181,Research & Development,Medical,201,Female,79,1,Laboratory Technician,Single,1483,16102,No,14,3,80,1,1,0
40,No,Travel Frequently,1395,Research & Development,Medical,202,Female,54,2,Research Scientist,Divorced,5605,8504,No,11,3,80,20,20,7
35,No,Travel Rarely,662,Sales,Marketing,204,Male,94,3,Sales Executive,Married,7295,11439,No,13,3,80,10,10,8
53,No,Travel Rarely,1436,Sales,Marketing,205,Male,34,2,Sales Representative,Married,2306,16047,Yes,20,4,80,13,7,7
45,No,Travel Rarely,194,Research & Development,Life Sciences,206,Male,60,2,Laboratory Technician,Divorced,2348,10901,No,18,3,80,20,17,9
32,No,Travel Frequently,967,Sales,Marketing,207,Female,43,3,Sales Executive,Single,8998,15589,No,14,3,80,9,9,8
29,No,Non-Travel,1496,Research & Development,Technical Degree,208,Male,41,2,Manufacturing Director,Married,4319,26283,No,13,3,80,10,10,7
51,No,Travel Rarely,1169,Research & Development,Medical,211,Male,34,2,Manufacturing Director,Married,6132,13983,No,17,3,80,10,1,0
58,No,Travel Rarely,1145,Research & Development,Medical,214,Female,75,1,Research Scientist,Married,3346,11873,Yes,20,4,80,9,1,0
40,No,Travel Rarely,630,Sales,Marketing,215,Male,67,3,Sales Executive,Married,10855,8552,No,11,3,80,15,12,11
34,No,Travel Frequently,303,Sales,Marketing,216,Female,75,1,Sales Representative,Married,2231,11314,No,18,3,80,6,4,3
22,No,Travel Rarely,1256,Research & Development,Medical,217,Male,80,1,Research Scientist,Married,2323,11992,No,24,4,80,2,2,2
27,No,Non-Travel,691,Research & Development,Medical,218,Male,57,1,Research Scientist,Divorced,2024,5970,No,18,3,80,6,2,2
28,No,Travel Rarely,440,Research & Development,Medical,221,Male,42,1,Research Scientist,Married,2713,6672,No,11,3,80,5,5,2
57,No,Travel Rarely,334,Research & Development,Life Sciences,223,Male,83,3,Healthcare Representative,Divorced,9439,23402,Yes,16,3,80,12,5,3
27,No,Non-Travel,1450,Research & Development,Medical,224,Male,79,1,Research Scientist,Divorced,2566,25326,Yes,15,3,80,1,1,1
50,No,Travel Rarely,1452,Research & Development,Life Sciences,226,Female,53,5,Manager,Single,19926,17053,No,15,3,80,21,5,4
41,No,Travel Rarely,465,Research & Development,Life Sciences,227,Male,56,1,Research Scientist,Divorced,2451,4609,No,12,3,80,13,9,8
30,No,Travel Rarely,1339,Sales,Life Sciences,228,Female,41,3,Sales Executive,Married,9419,8053,No,12,3,80,12,10,9
38,No,Travel Rarely,702,Sales,Life Sciences,230,Female,59,2,Sales Executive,Single,8686,12930,No,22,4,80,12,8,3
32,No,Travel Rarely,120,Research & Development,Life Sciences,231,Male,43,1,Research Scientist,Single,3038,12430,No,20,4,80,8,5,4
27,No,Travel Rarely,1157,Research & Development,Technical Degree,233,Male,51,1,Research Scientist,Married,3058,13364,Yes,16,3,80,6,5,2
19,Yes,Travel Frequently,602,Sales,Technical Degree,235,Female,100,1,Sales Representative,Single,2325,20989,No,21,4,80,1,0,0
36,No,Travel Frequently,1480,Research & Development,Medical,238,Male,30,1,Laboratory Technician,Single,2088,15062,No,12,3,80,13,8,7
30,No,Non-Travel,111,Research & Development,Medical,239,Male,66,2,Laboratory Technician,Divorced,3072,11012,No,11,3,80,12,12,9
45,No,Travel Rarely,1268,Sales,Life Sciences,240,Female,30,2,Sales Executive,Divorced,5006,6319,Yes,11,3,80,9,5,4
56,No,Travel Rarely,713,Research & Development,Life Sciences,241,Female,67,1,Research Scientist,Divorced,4257,13939,Yes,18,3,80,19,2,2
33,No,Travel Rarely,134,Research & Development,Life Sciences,242,Male,90,1,Research Scientist,Single,2500,10515,No,14,3,80,4,3,1
19,Yes,Travel Rarely,303,Research & Development,Life Sciences,243,Male,47,1,Laboratory Technician,Single,1102,9241,No,22,4,80,1,1,0
46,No,Travel Rarely,526,Sales,Marketing,244,Female,92,3,Sales Executive,Divorced,10453,2137,No,25,4,80,24,24,13
38,No,Travel Rarely,1380,Research & Development,Life Sciences,245,Female,75,1,Laboratory Technician,Single,2288,6319,No,12,3,80,2,2,2
31,No,Travel Rarely,140,Research & Development,Medical,246,Female,95,1,Research Scientist,Married,3929,6984,Yes,23,4,80,7,4,2
34,No,Travel Rarely,629,Research & Development,Medical,247,Female,95,1,Research Scientist,Single,2311,5711,No,15,3,80,9,3,2
41,Yes,Travel Rarely,1356,Sales,Marketing,248,Female,70,1,Sales Representative,Single,3140,21728,Yes,22,4,80,4,4,3
50,No,Travel Rarely,328,Research & Development,Medical,249,Male,86,1,Laboratory Technician,Married,3690,3425,No,15,3,80,5,3,2
53,No,Travel Rarely,1084,Research & Development,Medical,250,Female,57,2,Manufacturing Director,Divorced,4450,26250,No,11,3,80,5,4,2
33,No,Travel Rarely,931,Research & Development,Medical,252,Female,72,1,Research Scientist,Married,2756,4673,No,13,3,80,8,8,7
40,No,Travel Rarely,989,Research & Development,Medical,253,Female,46,5,Manager,Married,19033,6499,No,14,3,80,21,20,8
55,No,Travel Rarely,692,Research & Development,Medical,254,Male,61,5,Research Director,Single,18722,13339,No,11,3,80,36,24,15
34,No,Travel Frequently,1069,Research & Development,Life Sciences,256,Male,45,2,Manufacturing Director,Married,9547,14074,No,17,3,80,10,10,9
51,No,Travel Rarely,313,Research & Development,Medical,258,Female,98,4,Healthcare Representative,Single,13734,7192,No,18,3,80,21,7,7
52,No,Travel Rarely,699,Research & Development,Life Sciences,259,Male,65,5,Manager,Married,19999,5678,No,14,3,80,34,33,18
27,No,Travel Rarely,894,Research & Development,Medical,260,Female,99,1,Research Scientist,Single,2279,11781,No,16,3,80,7,7,7
35,Yes,Travel Rarely,556,Research & Development,Life Sciences,261,Male,50,2,Manufacturing Director,Married,5916,15497,Yes,13,3,80,8,1,0
43,No,Non-Travel,1344,Research & Development,Medical,262,Male,37,1,Research Scientist,Divorced,2089,5228,No,14,3,80,7,5,4
45,No,Non-Travel,1195,Research & Development,Medical,264,Male,65,4,Manager,Married,16792,20462,No,23,4,80,22,20,8
37,No,Travel Rarely,290,Research & Development,Life Sciences,267,Male,65,1,Research Scientist,Married,3564,22977,Yes,12,3,80,8,8,7
35,No,Travel Frequently,138,Research & Development,Medical,269,Female,37,2,Laboratory Technician,Single,4425,15986,No,11,3,80,10,6,2
42,No,Non-Travel,926,Research & Development,Medical,270,Female,36,2,Manufacturing Director,Divorced,5265,16439,No,16,3,80,11,5,3
38,No,Travel Rarely,1261,Research & Development,Life Sciences,271,Male,88,2,Manufacturing Director,Married,6553,7259,No,14,3,80,14,1,0
38,No,Travel Rarely,1084,Research & Development,Technical Degree,273,Male,54,2,Manufacturing Director,Married,6261,4185,No,18,3,80,9,7,7
27,No,Travel Frequently,472,Research & Development,Technical Degree,274,Male,60,2,Manufacturing Director,Married,4298,9679,No,19,3,80,6,2,2
49,No,Non-Travel,1002,Research & Development,Life Sciences,275,Male,92,2,Manufacturing Director,Divorced,6804,23793,Yes,15,3,80,7,7,7
34,No,Travel Frequently,878,Research & Development,Medical,277,Male,43,1,Research Scientist,Divorced,3815,5972,Yes,17,3,80,5,5,3
40,No,Travel Rarely,905,Research & Development,Medical,281,Male,99,2,Laboratory Technician,Married,2741,16523,Yes,15,3,80,15,7,2
38,Yes,Travel Rarely,1180,Research & Development,Medical,282,Male,70,2,Healthcare Representative,Married,6673,11354,Yes,19,3,80,17,1,0
29,Yes,Travel Rarely,121,Sales,Marketing,283,Female,35,3,Sales Executive,Married,7639,24525,No,22,4,80,10,10,4
22,No,Travel Rarely,1136,Research & Development,Life Sciences,284,Male,60,1,Research Scientist,Divorced,2328,12392,Yes,16,3,80,4,4,2
